"id","name","edible_portion","food_type","processing_method","ingredient_category","food_category","ingredient_category2","food_category2"
1,"Sugar",100,"Food","Industrial","Sugar and syrups","Sugar and syrups","Sugar and confectionery","Sugar and confectionery"
2,"Fructose",100,"Food","Industrial","Sugar and syrups","Sugar and syrups","Sugar and confectionery","Sugar and confectionery"
3,"Syrup",100,"Food","Industrial","Sugar and syrups","Sugar and syrups","Sugar and confectionery","Sugar and confectionery"
4,"Honey",100,"Food","No treatment","Sugar and syrups","Sugar and syrups","Sugar and confectionery","Sugar and confectionery"
5,"Sweet, candy",100,"Food","Industrial","Non-chocolate confectionery","Confectionery","Sugar and confectionery","Sugar and confectionery"
6,"Chocolate, average",100,"Food","Industrial","Chocolate","Chocolate","Sugar and confectionery","Sugar and confectionery"
7,"Chocolate confection filled with marmalade",100,"Food","Industrial","Chocolate","Chocolate","Sugar and confectionery","Sugar and confectionery"
8,"Liquorice, licorice",100,"Food","Industrial","Non-chocolate confectionery","Confectionery","Sugar and confectionery","Sugar and confectionery"
9,"Jelly candy, fruit jelly",100,"Food","Industrial","Non-chocolate confectionery","Confectionery","Sugar and confectionery","Sugar and confectionery"
10,"Marzipan, almond paste",100,"Food","Industrial","Non-chocolate confectionery","Confectionery","Sugar and confectionery","Sugar and confectionery"
11,"Toffee",100,"Food","Industrial","Non-chocolate confectionery","Confectionery","Sugar and confectionery","Sugar and confectionery"
12,"Salty liqourice pastille",100,"Food","Industrial","Non-chocolate confectionery","Confectionery","Sugar and confectionery","Sugar and confectionery"
14,"Chocolate bar, average",100,"Food","Industrial","Chocolate","Chocolate","Sugar and confectionery","Sugar and confectionery"
20,"Cocoa powder, unsweetened",100,"Food","Industrial","Miscellaneous ingredients","Chocolate","Other ingredients","Sugar and confectionery"
21,"Cocoa powder with sugar",100,"Food","Industrial","Miscellaneous ingredients","Chocolate","Other ingredients","Sugar and confectionery"
24,"Sorbitol",100,"Food","Industrial","Sweeteners","Miscellaneous ingredients","Other ingredients","Miscellaneous"
25,"Gelatin",100,"Food","Not specified","Miscellaneous ingredients","Miscellaneous ingredients","Other ingredients","Miscellaneous"
26,"Baking yeast, fresh",100,"Food","Not specified","Miscellaneous ingredients","Miscellaneous ingredients","Other ingredients","Miscellaneous"
27,"Flour, cornstarch, cornflour",100,"Food","Industrial","Starches","Miscellaneous ingredients","Cereals","Miscellaneous"
28,"Mustard",100,"Food","Industrial","Condiments","Condiments","Spices","Miscellaneous"
29,"Meat bouillon",100,"Dish","Boiled","Dish","Meat soups","Non-ingredient","Meat dishes"
30,"Salt, iodised",100,"Food","Industrial","Salt","Spices","Other ingredients","Miscellaneous"
31,"Soy sauce",100,"Food","Industrial","Condiments","Condiments","Spices","Miscellaneous"
32,"Chocolate, plain, dark chocolate",100,"Food","Industrial","Chocolate","Chocolate","Sugar and confectionery","Sugar and confectionery"
33,"Chocolate, milk chocolate",100,"Food","Industrial","Chocolate","Chocolate","Sugar and confectionery","Sugar and confectionery"
34,"Halva made with sesame seeds and sugar",100,"Food","Industrial","Non-chocolate confectionery","Confectionery","Sugar and confectionery","Sugar and confectionery"
35,"Sweet, candy, sugar-free",100,"Food","Industrial","Non-chocolate confectionery","Confectionery","Sugar and confectionery","Sugar and confectionery"
36,"Salt, low sodium",100,"Food","Industrial","Salt","Spices","Other ingredients","Miscellaneous"
37,"Chocolate, artificially sweetened",100,"Food","Industrial","Chocolate","Chocolate","Sugar and confectionery","Sugar and confectionery"
38,"Meat bouillon powder/cube",100,"Food","Industrial","Condiments","Condiments","Spices","Miscellaneous"
39,"Sweetener, aspartam, powder",100,"Food","Industrial","Sweeteners","Miscellaneous ingredients","Other ingredients","Miscellaneous"
40,"Cereal bar with fibre",100,"Food","Industrial","Non-chocolate confectionery","Confectionery","Sugar and confectionery","Sugar and confectionery"
43,"Rye malt",100,"Food","Dried","Miscellaneous ingredients","Miscellaneous ingredients","Other ingredients","Miscellaneous"
44,"Chocolate bar with filling, average",100,"Food","Industrial","Chocolate","Chocolate","Sugar and confectionery","Sugar and confectionery"
62,"Pastille sweetened with xylitol",100,"Food","Industrial","Non-chocolate confectionery","Confectionery","Sugar and confectionery","Sugar and confectionery"
63,"Chocolate bar, low-fat",100,"Food","Industrial","Chocolate","Chocolate","Sugar and confectionery","Sugar and confectionery"
